16:27:43: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 51] Logger initialized
16:27:54: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 150] CHANGE YAW: -45.0
16:27:54: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity so far: [1.66666667 2.5        0.08333333]
16:27:54: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 150] CHANGE YAW: -90.0
16:27:55: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity so far: [2.4  2.4  0.08]
16:27:55: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 150] CHANGE YAW: -135.0
16:27:55: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity so far: [2.30769231 1.53846154 0.07692308]
16:27:55: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 150] CHANGE YAW: -63.43494882292201
16:27:56: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity so far: [2.22222222 0.74074074 0.07407407]
16:27:56: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 150] CHANGE YAW: -90.0
16:27:56: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity so far: [2.14285714 0.         0.07142857]
16:27:56: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 150] CHANGE YAW: -116.565051177078
16:27:57: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity so far: [1.37931034 0.         0.06896552]
16:27:57: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 150] CHANGE YAW: -45.0
16:27:57: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity so far: [0.66666667 0.         0.06666667]
16:27:57: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 150] CHANGE YAW: -63.43494882292201
16:27:58: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity so far: [0.         0.         0.06451613]
16:27:58: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 150] CHANGE YAW: -90.0
16:27:58: [WARNING] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 72] Failed to get telemetry data
